Date,Open,High,Low,Close,Adj Close,Volume
2012-08-24,3.880000,3.900000,3.840000,3.900000,3.099138,41625300
2012-08-27,3.920000,3.940000,3.840000,3.840000,3.051459,37154300
2012-08-28,3.860000,3.900000,3.840000,3.860000,3.067352,18961000
2012-08-29,3.860000,3.900000,3.740000,3.780000,3.003780,44921300
2012-08-30,3.740000,3.760000,3.680000,3.740000,2.971994,33142800
2012-08-31,3.720000,3.780000,3.720000,3.760000,2.987887,18362000
2012-09-03,3.820000,3.820000,3.780000,3.780000,3.003780,13697000
2012-09-04,3.800000,3.880000,3.780000,3.860000,3.067352,58796300
2012-09-05,3.840000,3.860000,3.780000,3.780000,3.003780,49169400
2012-09-06,3.800000,3.860000,3.800000,3.840000,3.051459,15902200
2012-09-07,3.880000,3.920000,3.840000,3.860000,3.067352,70813400
2012-09-10,3.860000,3.940000,3.860000,3.940000,3.130924,76686300
2012-09-11,3.940000,4.220000,3.920000,4.160000,3.305747,464551200
2012-09-12,4.200000,4.200000,4.100000,4.120000,3.273961,225808900
2012-09-13,4.140000,4.240000,4.120000,4.200000,3.337533,189220500
2012-09-14,4.300000,4.400000,4.260000,4.380000,3.480571,264880300
2012-09-17,4.380000,4.400000,4.320000,4.400000,3.496464,89372000
2012-09-18,4.380000,4.380000,4.300000,4.320000,3.432891,70667296
2012-09-19,4.320000,4.520000,4.320000,4.500000,3.575928,214394000
2012-09-20,4.420000,4.460000,4.340000,4.400000,3.496464,153090500
2012-09-21,4.420000,4.480000,4.400000,4.420000,3.512357,84174200
2012-09-24,4.380000,4.400000,4.320000,4.340000,3.448784,53604300
2012-09-25,4.360000,4.400000,4.320000,4.360000,3.464677,46917900
2012-09-26,4.340000,4.340000,4.200000,4.220000,3.353426,57052800
2012-09-27,4.260000,4.340000,4.260000,4.280000,3.401105,75380300
2012-09-28,4.300000,4.340000,4.240000,4.260000,3.385213,45954500
2012-10-01,4.240000,4.300000,4.220000,4.260000,3.385213,23774400
2012-10-02,4.280000,4.300000,4.180000,4.200000,3.337533,49943700
2012-10-03,4.200000,4.260000,4.180000,4.220000,3.353426,37694400
2012-10-04,4.200000,4.260000,4.200000,4.200000,3.337533,48252300
2012-10-05,4.240000,4.280000,4.220000,4.240000,3.369319,54859600
2012-10-08,4.240000,4.240000,4.180000,4.220000,3.353426,29080700
2012-10-09,4.240000,4.260000,4.120000,4.120000,3.273961,48412400
2012-10-10,4.100000,4.160000,4.080000,4.120000,3.273961,44910000
2012-10-11,4.100000,4.200000,4.060000,4.200000,3.337533,32834000
2012-10-12,4.240000,4.240000,4.160000,4.160000,3.305747,73894800
